UTM ID,Campaign ID,Campaign Name,utm_campaign,Source,utm_source,Medium,utm_medium,Creative ID,Creative Name,utm_content,Audience,utm_term,Destination URL,Final URL,Placement,Publish Date,Created By,Username,Created At,Status,Notes
UTM-260901-085808-9F62A258,CMP-260901-085307-6BB54908,کمپین تلگرام ادز,fullfundpro_lead_generation_shahrivar_1405,تلگرام,telegram,سوشال رسمی / تبلیغات پلتفرمی,platform_ads,CR-260901-085439-FE513724,لندینگ اصلی رابین سود نسخه 1,landing_cr_260901_085439_fe513724_v1,,,https://landing.robinsood.com/,https://landing.robinsood.com/?utm_source=telegram&utm_medium=platform_ads&utm_campaign=fullfundpro_lead_generation_shahrivar_1405&utm_content=landing_cr_260901_085439_fe513724_v1,,2026-09-01,مدیر اصلی,owner,2026-09-01T08:58:08.438Z,active,
UTM-260901-061312-E59AAE83,CMP-260831-191708-22583F97,کمپین sms  مارکتنیگ افزایش لید فول فاند پرو شهریور,fullfund_pro_najva_shahrivar_1405,سایت نجوا پیامک,site-https_www_najva_com,پیامک,sms,CR-260831-191951-166E33F1,لندینگ آموزشی پیامک نجوا لیدگیری فول فاند پرو,landing_cr_260831_191951_166e33f1_v1,,,https://www.robinsood.com/faq,https://www.robinsood.com/faq?utm_source=site-https_www_najva_com&utm_medium=sms&utm_campaign=fullfund_pro_najva_shahrivar_1405&utm_content=landing_cr_260831_191951_166e33f1_v1,,2026-09-01,مدیر اصلی,owner,2026-09-01T06:13:12.719Z,active,
UTM-260831-192118-35297D77,CMP-260831-191708-22583F97,کمپین sms  مارکتنیگ افزایش لید فول فاند پرو شهریور,fullfund_pro_najva_shahrivar_1405,پیامک — نجوا,sms_najva,پیامک,sms,CR-260831-191951-166E33F1,لندینگ آموزشی پیامک نجوا لیدگیری فول فاند پرو,landing_cr_260831_191951_166e33f1_v1,,,https://www.robinsood.com/account/userlogin,https://www.robinsood.com/account/userlogin?utm_source=sms_najva&utm_medium=sms&utm_campaign=fullfund_pro_najva_shahrivar_1405&utm_content=landing_cr_260831_191951_166e33f1_v1,NAJVA _ YEKTANET,2026-09-02,مسئول مارکتینگ,marketing,2026-08-31T19:21:18.902Z,active,
UTM-260827-125155-21514E11,CMP-260827-125038-911A460E,کمپین ایمیل مارکتینگ,fullfundpro_lead_aug26_shahrivar_1405,سایت نجوا,site-https_app_cmercury_com,سوشال — رسانه دیگران (تبلیغ پولی),paid_social,CR-260827-124734-652CA150,لندینگ بعد از رونمایی فول فاند پرو,landing_cr_260827_124734_652ca150_v1,,,https://www.robinsood.com/account/userlogin,https://www.robinsood.com/account/userlogin?utm_source=site-https_app_cmercury_com&utm_medium=paid_social&utm_campaign=fullfundpro_lead_aug26_shahrivar_1405&utm_content=landing_cr_260827_124734_652ca150_v1,سایت نجوا برای ارسال ایمیل,2026-08-27,مدیر اصلی,owner,2026-08-27T12:51:55.977Z,active,
UTM-260827-090956-92F01974,CMP-260827-085606-E8BBADD6,کمپین ایمیل مارکتینگ,fullfundpro_lead_aug26_shahrivar_1405,سایت نجوا,site-https_app_cmercury_com,رفرال,paid_referral,CR-260827-090942-2D63B607,لندینگ بعد از رونمایی فول فاند پرو,banner_cr_260827_090942_2d63b607_v1,,,https://www.robinsood.com/account/userlogin,https://www.robinsood.com/account/userlogin?utm_source=site-https_app_cmercury_com&utm_medium=paid_referral&utm_campaign=fullfundpro_lead_aug26_shahrivar_1405&utm_content=banner_cr_260827_090942_2d63b607_v1,سایت نجوا برای ارسال ایمیل,2026-08-27,مدیر اصلی,owner,2026-08-27T09:09:56.556Z,active,
UTM-260825-102659-8E931923,CMP-260825-101424-53264E8F,چاوش کمپین شهریور ماه,fullfun_pro_chavosh_shahrivar_1405,CHAVOSH,chavosh,CHAVOSH,chavosh,CR-260825-101625-18413FD9,لینک داخلی لندینگ چاوش,text_cr_260825_101625_18413fd9_v1,,,https://www.aparat.com/robinsood,https://www.aparat.com/robinsood?utm_source=chavosh&utm_medium=chavosh&utm_campaign=fullfun_pro_chavosh_shahrivar_1405&utm_content=text_cr_260825_101625_18413fd9_v1,,2026-08-25,مسئول مارکتینگ,marketing,2026-08-25T10:26:59.420Z,active,
UTM-260825-102459-F0C15863,CMP-260825-101424-53264E8F,چاوش کمپین شهریور ماه,fullfun_pro_chavosh_shahrivar_1405,CHAVOSH,chavosh,CHAVOSH,chavosh,CR-260825-101625-18413FD9,لینک داخلی لندینگ چاوش,text_cr_260825_101625_18413fd9_v1,,,https://pegah.robinsood.com/,https://pegah.robinsood.com/?utm_source=chavosh&utm_medium=chavosh&utm_campaign=fullfun_pro_chavosh_shahrivar_1405&utm_content=text_cr_260825_101625_18413fd9_v1,,2026-08-25,مسئول مارکتینگ,marketing,2026-08-25T10:24:59.548Z,active,
UTM-260825-102412-3F3D14C5,CMP-260825-101424-53264E8F,چاوش کمپین شهریور ماه,fullfun_pro_chavosh_shahrivar_1405,CHAVOSH,chavosh,CHAVOSH,chavosh,CR-260825-101625-18413FD9,لینک داخلی لندینگ چاوش,text_cr_260825_101625_18413fd9_v1,,,https://www.robinsood.com/articledetails/2137/%D9%BE%D9%84%D8%AA%D9%81%D8%B1%D9%85-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA%DB%8C-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C-%D8%B1%D8%A7%D8%A8%DB%8C%D9%86%E2%80%8C%D8%B3%D9%88%D8%AF%D8%9B-%D8%B2%DB%8C%D8%B1%D8%B3%D8%A7%D8%AE%D8%AA%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AF%D8%A7%D8%B1-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AA%D8%B1%DB%8C%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%B9%D8%B5%D8%B1-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%85%D9%84%DB%8C,https://www.robinsood.com/articledetails/2137/%D9%BE%D9%84%D8%AA%D9%81%D8%B1%D9%85-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA%DB%8C-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C-%D8%B1%D8%A7%D8%A8%DB%8C%D9%86%E2%80%8C%D8%B3%D9%88%D8%AF%D8%9B-%D8%B2%DB%8C%D8%B1%D8%B3%D8%A7%D8%AE%D8%AA%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AF%D8%A7%D8%B1-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AA%D8%B1%DB%8C%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%B9%D8%B5%D8%B1-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%85%D9%84%DB%8C?utm_source=chavosh&utm_medium=chavosh&utm_campaign=fullfun_pro_chavosh_shahrivar_1405&utm_content=text_cr_260825_101625_18413fd9_v1,,2026-08-25,مسئول مارکتینگ,marketing,2026-08-25T10:24:12.118Z,active,
UTM-260825-102243-CE4C221C,CMP-260825-101424-53264E8F,چاوش کمپین شهریور ماه,fullfun_pro_chavosh_shahrivar_1405,CHAVOSH,chavosh,CHAVOSH,chavosh,CR-260825-101625-18413FD9,لینک داخلی لندینگ چاوش,text_cr_260825_101625_18413fd9_v1,,,https://www.robinsood.com/articledetails/2138/%D9%BE%D9%86%D9%84-%D8%A2%D9%86%D8%A7%D9%84%DB%8C%D8%B2-%D8%B1%D8%A7%D8%A8%DB%8C%D9%86%E2%80%8C%D8%B3%D9%88%D8%AF-%D8%A8%D9%87%E2%80%8C%D8%B1%D9%88%D8%B2-%D8%B4%D8%AF%D8%9B-%D8%A7%D8%A8%D8%B2%D8%A7%D8%B1-%D8%AD%D8%B1%D9%81%D9%87%E2%80%8C%D8%A7%DB%8C-%D8%AA%D8%AD%D9%84%DB%8C%D9%84-%D8%B9%D9%85%D9%84%DA%A9%D8%B1%D8%AF-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AA%D8%B1%DB%8C%D8%AF%D8%B1%D9%87%D8%A7%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C,https://www.robinsood.com/articledetails/2138/%D9%BE%D9%86%D9%84-%D8%A2%D9%86%D8%A7%D9%84%DB%8C%D8%B2-%D8%B1%D8%A7%D8%A8%DB%8C%D9%86%E2%80%8C%D8%B3%D9%88%D8%AF-%D8%A8%D9%87%E2%80%8C%D8%B1%D9%88%D8%B2-%D8%B4%D8%AF%D8%9B-%D8%A7%D8%A8%D8%B2%D8%A7%D8%B1-%D8%AD%D8%B1%D9%81%D9%87%E2%80%8C%D8%A7%DB%8C-%D8%AA%D8%AD%D9%84%DB%8C%D9%84-%D8%B9%D9%85%D9%84%DA%A9%D8%B1%D8%AF-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AA%D8%B1%DB%8C%D8%AF%D8%B1%D9%87%D8%A7%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C?utm_source=chavosh&utm_medium=chavosh&utm_campaign=fullfun_pro_chavosh_shahrivar_1405&utm_content=text_cr_260825_101625_18413fd9_v1,,2026-08-25,مسئول مارکتینگ,marketing,2026-08-25T10:22:43.898Z,active,
UTM-260825-101921-C284C5C7,CMP-260825-101424-53264E8F,چاوش کمپین شهریور ماه,fullfun_pro_chavosh_shahrivar_1405,CHAVOSH,chavosh,CHAVOSH,chavosh,CR-260825-101625-18413FD9,لینک داخلی لندینگ چاوش,text_cr_260825_101625_18413fd9_v1,,,https://www.robinsood.com/#Tariff,https://www.robinsood.com/?utm_source=chavosh&utm_medium=chavosh&utm_campaign=fullfun_pro_chavosh_shahrivar_1405&utm_content=text_cr_260825_101625_18413fd9_v1#Tariff,,2026-08-25,مسئول مارکتینگ,marketing,2026-08-25T10:19:21.530Z,active,
UTM-260825-101706-3EB39CD7,CMP-260825-101424-53264E8F,چاوش کمپین شهریور ماه,fullfun_pro_chavosh_shahrivar_1405,CHAVOSH,chavosh,CHAVOSH,chavosh,CR-260825-101625-18413FD9,لینک داخلی لندینگ چاوش,text_cr_260825_101625_18413fd9_v1,,,https://www.robinsood.com/account/userlogin,https://www.robinsood.com/account/userlogin?utm_source=chavosh&utm_medium=chavosh&utm_campaign=fullfun_pro_chavosh_shahrivar_1405&utm_content=text_cr_260825_101625_18413fd9_v1,,2026-08-25,مسئول مارکتینگ,marketing,2026-08-25T10:17:06.437Z,active,
